name,releasedate,copiessold,price,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
Descending The Woods,2024-07-12,1876,18.99,26435.0,4.11667969946909,54,Indie,AIONWARE LTD,AIONWARE LTD,2868070
One-inch Tactics,2024-05-19,1790,19.99,26321.0,5.338793062420716,96,Indie,KOMODO,KOGADO STUDIO,2743970
ZOMBIE RAID: No One Survives,2024-07-12,1912,14.99,26312.0,7.861631492084579,56,Indie,Red Dot Studio,Red Dot Studio,688540
Drake's Dungeon,2024-01-15,827,34.99,26043.0,5.879234362977851,92,Indie,hotchaWorks,hotchaWorks,2313670
Taskmaster VR,2024-06-19,1253,24.99,26027.0,1.2380134733088026,51,Indie,Draw & Code,Scallywag Arcade,2698450
永恒幻境 Eternal Dreamland,2024-01-31,4968,6.99,26013.0,6.974941044986054,46,Indie,Eternal,Eternal,2722270
Footgun: Underground,2024-04-30,2349,14.99,25998.0,4.073246333939646,91,Indie,CobraTekku Games,Turtle Knight Games,2206240
Populous™: The Beginning,2024-03-07,13253,4.99,25991.0,7.955810905167381,90,AAA,Electronic Arts,Bullfrog Productions,2616430
Dungeons and Robots,2024-01-23,6096,8.99,25961.0,3.345569342795724,44,Indie,Glow Games Studio,Glow Games Studio,386650
東方幻想魔録W ～ The Devil of Decline,2024-03-28,971,29.99,25957.0,33.79966654377854,95,Indie,mebius.,ハチクマソフト,2250790
Astor: Blade of the Monolith,2024-05-30,1257,24.99,25886.0,6.763298604016614,76,Indie,"Versus Evil,tinyBuild",C2 Game Studio,1989320
Elf Discipline Ceremony,2024-02-23,3364,10.99,25798.0,1.317406278655748,69,Indie,072 Project,Flag shadow,2696060
Lord of Rigel,2024-08-25,1683,19.99,25727.0,15.755765649770373,64,Indie,Rhombus Studios,Rhombus Studios,437440
Coin Factory,2024-06-21,5722,4.99,25657.0,5.457562492504714,84,Indie,Lino Rabolini,Lino Rabolini,2992500
El Dorado: The Golden City Builder,2024-06-17,1832,17.99,25637.0,3.0580108439931446,66,Indie,"Gameparic,Games Incubator","Hobo Bunch,Gameparic",1451470
戦国ブシドー〜大野望の巻〜,2024-07-16,6549,0.0,25618.0,3.397036159430714,50,Indie,©︎ Kaiser (Overseas) Limited,©︎ Kaiser (Overseas) Limited,3038820
Oji-Mama/憧れのガチムチおじさんがボクだけのドスケベママになっちゃった❤,2024-05-23,1138,25.0,25605.0,1.589665166121501,100,Indie,SKSK団,SKSK団,2725330
Scorchlands,2024-07-25,2935,11.99,25601.0,4.906361017315902,95,Indie,Star Drifters,Ringlab,1090100
Amazing Grace -What color is your attribute?-,2024-04-25,1092,34.99,25577.0,12.860570848587352,94,Indie,Shiravune,Cabbage Soft,2553910
Beat Slayer,2024-04-04,1653,19.99,25573.0,4.566483504479899,95,Indie,"ByteRockers' Games,Paras Games",ByteRockers' Games,2089830
Reigns: Three Kingdoms,2024-01-11,11023,2.99,25568.0,9.394821914426831,52,AA,Devolver Digital,Nerial,2437040
Orrstead,2024-03-06,2404,12.99,25518.0,4.8784450445901175,85,Indie,IndividualKex,IndividualKex,693940
Just Another Night Shift,2024-03-28,4927,6.99,25488.0,3.699649889980997,93,Indie,RantaKoira,"RantaKoira,FinnGames",2331130
Worm Nest Plague,2024-07-16,4051,6.99,25484.0,5.962315535452199,93,Indie,ST Hot Dog King,ST Hot Dog King,2666590
TRAMCITY HAKODATE,2024-01-04,1888,14.99,25471.0,2.946587843328908,100,Indie,TRAMWORKS,TRAMWORKS,2614000
MAOUISHO:~ La Dolce Vita with Another World's Demon Lord~,2024-08-09,1238,24.99,25454.0,2.566796088307798,91,Indie,072 Project,ボウサバG,2602770
KAMLA,2024-05-07,4750,7.99,25205.0,3.201889765586553,93,Indie,Mad-Mantra Games,Mad-Mantra Games,2585270
Midnight Ramen,2024-07-23,2575,11.99,25107.0,3.010670659560389,99,Indie,Cointinue Games,Cointinue Games,2543030
Haruka Ao no Hanayome ni,2024-08-09,1235,29.99,25078.0,6.674226319823847,99,Indie,HIKARI FIELD,Lump of Sugar,2947230
Sherwood Extreme,2024-04-29,1589,19.99,25077.0,3.596430164747675,78,Indie,CAGE Studios,CAGE Studios,1340180
ESCAPE FROM BOYKISSER,2024-02-10,26650,1.99,25071.0,1.5818382138488385,84,Indie,akhsotoen,akhsotoen,2708280
Game Store Simulator,2024-08-20,6470,4.99,25070.0,4.17682057665008,84,Indie,Pex Entertainment,Pex Entertainment,2598930
Sex Universe [18+],2024-05-11,4485,9.99,25061.0,1.3838816447480855,72,Indie,Octo Games,Octo Games,2888360
Destiny Online,2024-03-30,3047,0.0,24986.0,128.7942781499453,82,Indie,Destiny10.com,Destiny10.com,2841010
"Girls on Campus, from Freshmen to Faculty, All Fall for Me!",2024-08-15,5650,6.99,24952.0,8.789299939559351,89,Indie,"Girls on Campus, from Freshmen to Faculty, All Fall for Me!","Girls on Campus, from Freshmen to Faculty, All Fall for Me!",3029990
Strayed,2024-04-19,1512,19.99,24912.0,21.136065774131144,77,Indie,Crustacean Interactive,Crustacean Interactive,2359470
UBOAT: The Silent Wolf VR,2024-06-19,1499,19.99,24828.0,2.313831093937943,67,Indie,Titan GameZ,Titan GameZ,1455390
Hatsune Miku - The Planet Of Wonder And Fragments Of Wishes,2024-04-21,1121,29.99,24809.0,2.202186541138209,66,Indie,KOMODO,Crypton Future Media,2477920
Dawnsbury Days,2024-03-08,5954,4.99,24711.0,5.791491841946118,98,Indie,Dawnsbury Studios,Dawnsbury Studios,2693730
Isabella: Chasing Shadows,2024-06-21,2663,11.99,24675.0,2.593236273079848,92,Indie,Badtimetales,Badtimetales,2703180
CROPS!,2024-07-17,3684,7.99,24620.0,3.474930930601481,89,Indie,Bocary Studios,Bocary Studios,3057760
Skelethrone: The Chronicles of Ericona,2024-08-07,2106,14.99,24562.0,7.958073901311823,83,Indie,Valkyrie Initiative,70`Strike,2139840
Stellar Orphans,2024-03-25,1926,19.99,24519.0,13.103214310311111,75,Indie,Artifex Parvus,Artifex Parvus,1844130
Rumble Club,2024-04-23,33980,0.0,24402.0,9.2343461987409,75,Indie,Mad Mushroom,"Lightfox Games, Inc.",2639810
Acolyte of the Altar,2024-03-25,1540,19.99,24374.0,4.564088681505565,74,Indie,Black Kite Games,Black Kite Games,2288880
It was a human.,2024-07-26,5919,4.99,24206.0,1.635386691608368,79,Indie,GAMER Plan,Loser/s,2484160
Camp Canyonwood,2024-02-26,1890,19.99,24136.0,7.230023662650743,66,Indie,Graffiti Games,Deli Interactive LLC,1374170
Ashes of the Union,2024-07-23,2062,12.99,24106.0,6.128064856128352,82,Indie,700 Games Studio,700 Games Studio,3091390
SCP: Descent,2024-03-20,4272,6.99,24090.0,1.3734348998612604,58,Indie,Pixel Drip Games,Pixel Drip Games,2757220
ONE BTN BOSSES,2024-08-06,2454,11.99,24086.0,2.771675621037209,89,Indie,"Midnight Munchies,Outersloth",Midnight Munchies,1910600
The World of Gangs,2024-04-16,3344,7.99,23966.0,1.6007193284361896,56,Indie,Playmeow,Cosemen Gaming,1925040
Mareld,2024-05-02,4229,6.99,23913.0,7.149109966051024,93,Indie,Renka,Renka,2336580
Boldly Forward,2024-02-07,7022,3.99,23873.0,15.315030346177886,47,Indie,SmallMill,SmallMill,2758280
TV Studio Story,2024-03-06,3189,8.99,23794.0,7.569713766047223,93,Indie,"Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",2732020
NARIBIKIMURA,2024-08-16,2313,12.99,23719.0,1.7685553438239612,82,Indie,DorsalFin Studio,DorsalFin Studio,2693860
Kanna Maze,2024-05-15,8150,3.99,23718.0,3.6680798219231856,89,Indie,致意,致意,2876250
Mori Carta,2024-03-25,1627,14.99,23628.0,11.214485432444643,71,Indie,Nevergreen Games,Nevergreen Games,1570830
Machick,2024-03-22,3991,6.99,23624.0,4.499842553564392,91,Indie,No Serious Games,No Serious Games,2811200
Dünnes Eis - Das Spiel zum Song,2024-05-16,6564,3.99,23571.0,0.9798791592039828,100,Indie,"Lorke Records, Inh. Anne Baumann","Baumann Bergmann Pokinsson,Jan Baumann",2961990
